epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,41.5879,1.47377,3.76028,1.21913,0.008,0.92308,0.1875,0.09048,1.26312,3.36536,1.05481,0.091,0.001,0.001
2,58.2335,1.26133,3.88289,1.18418,0.008,0.92308,0.19745,0.09615,1.23381,3.35055,1.0182,0.0810307,0.0020307,0.0020307
3,73.7957,1.13176,3.48887,1.14168,0.00867,1,0.2268,0.11107,1.2849,3.24588,1.01091,0.0709888,0.0029888,0.0029888
4,95.034,1.21263,3.30794,1.08359,0.008,0.92308,0.23027,0.15471,1.24193,3.20758,0.97839,0.0608743,0.0038743,0.0038743
5,118.26,1.24553,3.09723,1.08139,0.00867,1,0.30692,0.20475,1.18032,3.0599,0.95725,0.0506872,0.0046872,0.0046872
6,133.237,1.38616,2.88474,1.16996,0.008,0.92308,0.76133,0.40554,1.01498,2.86172,0.90012,0.0404275,0.0054275,0.0054275
7,148.878,1.10495,2.36769,1.08585,1,0.51162,0.69713,0.42698,1.24532,2.45975,0.95528,0.0300952,0.0060952,0.0060952
8,164.638,1.16544,1.90881,1.03713,0.9904,0.46154,0.46779,0.24825,1.33468,1.95723,0.97803,0.0196903,0.0066903,0.0066903
9,179.71,1.20463,5.20002,0.99236,1,0.73986,0.76658,0.47239,1.33468,1.95723,0.97803,0.0092128,0.0072128,0.0072128
10,196.019,1.13485,2.42222,1.00161,0.71096,0.37924,0.39118,0.2206,1.32032,1.99886,0.98599,0.00703,0.00703,0.00703
11,215.245,1.27139,2.34794,1.0864,0.69111,0.38462,0.40269,0.26286,1.2515,1.88435,0.99112,0.0067,0.0067,0.0067
12,231.556,1.10072,1.96164,1.02095,0.74683,0.69231,0.69375,0.46509,1.2515,1.88435,0.99112,0.00637,0.00637,0.00637
13,253.014,1.04978,1.79422,0.99653,0.86552,0.69231,0.73103,0.39595,1.30537,1.8641,1.00847,0.00604,0.00604,0.00604
14,268.499,1.11887,1.86202,1.06622,0.98224,0.46154,0.57945,0.28744,1.30491,1.43196,1.01714,0.00571,0.00571,0.00571
15,288.424,1.10764,1.67428,1.08258,0.99039,0.76923,0.87411,0.51529,1.30491,1.43196,1.01714,0.00538,0.00538,0.00538
16,311.712,1.14334,1.39707,1.03219,0.98469,0.84615,0.90536,0.47411,1.3259,1.32065,1.01462,0.00505,0.00505,0.00505
17,331.085,1.05628,1.57058,1.00218,0.89848,0.68181,0.68851,0.44839,1.11492,1.21544,0.93591,0.00472,0.00472,0.00472
18,356.638,1.10145,1.58031,1.02784,0.99757,0.69231,0.69651,0.37308,1.21955,1.24722,0.98181,0.00439,0.00439,0.00439
19,377.179,1.19375,1.56269,1.09021,1,0.99163,0.995,0.58444,1.21955,1.24722,0.98181,0.00406,0.00406,0.00406
20,394.387,1.07228,1.99377,1.04906,1,0.69035,0.69651,0.4547,1.00359,1.12055,0.92678,0.00373,0.00373,0.00373
21,410.343,1.00467,1.68136,1.01467,0.95402,0.61538,0.61757,0.43347,0.99707,1.24226,0.91465,0.0034,0.0034,0.0034
22,424.346,0.88591,1.54219,0.99225,0.90546,1,0.97857,0.72311,0.99707,1.24226,0.91465,0.00307,0.00307,0.00307
23,445.381,0.86194,1.60376,0.95746,0.97869,0.30769,0.30965,0.21005,1.13856,1.25512,0.9852,0.00274,0.00274,0.00274
24,468.163,0.89086,1.54563,0.97185,1,0.67147,0.69651,0.47651,1.04755,1.27791,0.9154,0.00241,0.00241,0.00241
25,486.152,0.86727,1.57231,0.96062,0.89516,0.92308,0.97951,0.69172,1.04755,1.27791,0.9154,0.00208,0.00208,0.00208
26,500.785,0.82293,1.55755,0.96452,0.96918,0.30769,0.30965,0.23123,0.99015,1.20233,0.89669,0.00175,0.00175,0.00175
27,519.153,0.93696,1.56591,1.01199,0.98292,0.84615,0.91394,0.7064,0.93266,1.14828,0.88688,0.00142,0.00142,0.00142
28,532.495,0.84241,1.5126,0.96901,0.98528,0.92308,0.98567,0.77236,0.93266,1.14828,0.88688,0.00109,0.00109,0.00109
29,550.551,0.8187,1.42545,0.95349,0.97884,0.84615,0.91394,0.68133,0.92817,1.13308,0.88719,0.00076,0.00076,0.00076
30,574.438,0.83501,1.38017,0.94296,1,0.67964,0.69651,0.49746,0.9141,1.12113,0.8852,0.00043,0.00043,0.00043
